Instrution,Output
မေးခိုင်ရောဂါကြောင့် သေဆုံးနိုင်ခြေ ရာခိုင်နှုန်းကို ဖော်ပြပြီး ရှင်းပြပါ,မေးခိုင်ရောဂါကြောင့် သေဆုံးနိုင်ခြေ ရာခိုင်နှုန်းသည် 10% မှ 20% အထိ ရှိနိုင်သည်။ သေဆုံးနိုင်ခြေသည် လူနာ၏ အသက်အရွယ်၊ ရောဂါပြင်းထန်မှု၊ ကုသမှု စတင်သည့်အချိန်နှင့် ရရှိနိုင်သော ဆေးဝါးကုသမှုအပေါ် မူတည်သည်။
မေးခိုင်ရောဂါ ကာကွယ်ဆေး၏ သမိုင်းကြောင်းကို အကျဉ်းချုပ် ဖော်ပြပါ,မေးခိုင်ရောဂါ ကာကွယ်ဆေးကို 1924 ခုနှစ်တွင် Gaston Ramon က ရှာဖွေတွေ့ရှိခဲ့သည်။ ထိုအချိန်မှစ၍ ၎င်းသည် အသုံးအများဆုံး ကာကွယ်ဆေးတစ်ခု ဖြစ်လာခဲ့သည်။ လက်ရှိတွင် DPT ကာကွယ်ဆေးတွင် ဆုံဆို့နာ၊ ကာလဝမ်းရောဂါတို့နှင့်အတူ ပေါင်းစပ်ထားသည်။
နိုင်ငံအလိုက် မေးခိုင်ရောဂါ ဖြစ်ပွားမှုနှုန်းများ ကွာခြားရခြင်း အကြောင်းရင်းများကို ဆွေးနွေးပါ,နိုင်ငံအလိုက် မေးခိုင်ရောဂါ ဖြစ်ပွားမှုနှုန်းများ ကွာခြားရခြင်းမှာ ကာကွယ်ဆေးထိုးနှံမှုအခြေအနေ၊ ကျန်းမာရေးစောင့်ရှောက်မှုစနစ်၊ သန့်ရှင်းရေးအခြေအနေနှင့် လူနေမှုအဆင့်အတန်းတို့ကြောင့် ဖြစ်သည်။ ဖွံ့ဖြိုးဆဲနိုင်ငံများတွင် ဖြစ်ပွားမှုနှုန်း ပိုမိုမြင့်မားလေ့ရှိသည်။
မေးခိုင်ရောဂါ ဖြစ်ပွားပြီးနောက် ရောဂါပြန်လည်ဖြစ်ပွားနိုင်ခြေ ရှိပါသလား,မေးခိုင်ရောဂါ ဖြစ်ပွားပြီးနောက် ရောဂါကာကွယ်နိုင်စွမ်း မရရှိပါ။ ထို့ကြောင့် ရောဂါပြန်လည်ဖြစ်ပွားနိုင်ခြေ ရှိသည်။ ရောဂါပြန်လည်မဖြစ်ပွားစေရန် ကာကွယ်ဆေး ထပ်မံထိုးရန် လိုအပ်သည်။
Clostridium tetani ဘက်တီးရီးယား၏ မျိုးရိုးဗီဇဆိုင်ရာ အချက်အလက်များကို ဖော်ပြပါ,Clostridium tetani ဘက်တီးရီးယား၏ genome သည် circular chromosome တစ်ခု ဖြစ်ပြီး ပျမ်းမျှအားဖြင့် 2.8 မီလီယံ base pairs ရှိသည်။ ၎င်း၏ genome တွင် tetanus toxin ထုတ်လုပ်ရန်အတွက် tetX gene ပါဝင်သည်။
မေးခိုင်ရောဂါကို အခြားရောဂါများနှင့် မှားယွင်းစွာ ရောဂါရှာဖွေနိုင်ခြေ ရှိပါသလား,မေးခိုင်ရောဂါကို တစ်ခါတစ်ရံ strychnine အဆိပ်သင့်ခြင်း၊ ဦးနှောက်အမြှေးရောင်ရောဂါ၊ ပါးချိတ်ရောင်ရောဂါ သို့မဟုတ် ဆေးဝါးဓာတ်မတည့်မှုတို့နှင့် မှားယွင်းစွာ ရောဂါရှာဖွေနိုင်ခြေ ရှိသည်။ သေချာစွာ ရောဂါရာဇဝင် မေးမြန်းခြင်းနှင့် စစ်ဆေးခြင်းဖြင့် ခွဲခြားရန်လိုအပ်ပါသည်။

Clostridium botulinum ဆိုတာ ဘာလဲ,Clostridium botulinum သည် botulism အစာအဆိပ်သင့်ခြင်းကို ဖြစ်စေသော gram-positive၊ anaerobic bacteria တစ်မျိုး ဖြစ်သည်။ ၎င်းသည် အလွန်အန္တရာယ်ရှိသော neurotoxin ကို ထုတ်လုပ်သည်။
Botulism အစာအဆိပ်သင့်ခြင်း ဘယ်လိုဖြစ်ပွားသလဲ,Botulism အစာအဆိပ်သင့်ခြင်းသည် Clostridium botulinum က ထုတ်လုပ်သော toxin ပါဝင်သော အစားအစာများ စားသုံးမိခြင်းကြောင့် ဖြစ်ပွားသည်။ ၎င်းသည် အဓိကအားဖြင့် မှန်ကန်စွာ မသိမ်းဆည်းထားသော အစားအစာများတွင် တွေ့ရသည်။
Botulism ၏ လက္ခဏာများကို ဖော်ပြပါ,Botulism ၏ လက္ခဏာများတွင် မျက်စိမှုန်ဝါးခြင်း၊ မျိုချရန်ခက်ခဲခြင်း၊ စကားပြောရန်ခက်ခဲခြင်း၊ ကြွက်သားအားနည်းခြင်းနှင့် အသက်ရှူခက်ခဲခြင်းတို့ ပါဝင်သည်။ ပြင်းထန်သောအခါ အသက်သေဆုံးနိုင်သည်။
Clostridium botulinum ၏ ဇီဝဗေဒဆိုင်ရာ လက္ခဏာများကို ဖော်ပြပါ,Clostridium botulinum သည် gram-positive၊ rod-shaped၊ obligate anaerobic bacteria ဖြစ်သည်။ ၎င်းသည် heat-resistant spores များ ဖွဲ့စည်းနိုင်ပြီး ဆန့်ကျင်ဘက် ပတ်ဝန်းကျင်တွင် ရှင်သန်နိုင်သည်။
Botulinum toxin ၏ ယန္တရားကို ရှင်းပြပါ,Botulinum toxin သည် အာရုံကြောဆက်သွယ်မှုကို ပိတ်ဆို့ပေးသော neurotoxin တစ်မျိုး ဖြစ်သည်။ ၎င်းသည် acetylcholine ဓာတ်ပေါင်းကို ထုတ်လွှတ်ခြင်းကို တားဆီးပြီး ကြွက်သားများ အားနည်းစေသည်။
Botulism ကို ဘယ်လိုရှာဖွေစစ်ဆေးသလဲ,Botulism ကို လက္ခဏာများနှင့် ရောဂါဖြစ်ပွားပုံအပေါ် အခြေခံ၍ ရှာဖွေစစ်ဆေးသည်။ သွေး၊ မစင် သို့မဟုတ် အစားအစာနမူနာများကို ဓာတ်ခွဲစစ်ဆေးခြင်းဖြင့် အတည်ပြုနိုင်သည်။ Mouse bioassay ကိုလည်း အသုံးပြုနိုင်သည်။
Botulism ကို ဘယ်လိုကုသသလဲ,Botulism ကို ကုသရာတွင် antitoxin ပေးခြင်း၊ supportive care ပေးခြင်းနှင့် လိုအပ်ပါက အသက်ရှူစက်တပ်ဆင်ပေးခြင်းတို့ ပါဝင်သည်။ ပြင်းထန်သောလူနာများအတွက် အထူးကြပ်မတ်ကုသဆောင်တွင် ကုသရန် လိုအပ်နိုင်သည်။
